num_execve,num_distinct_children,num_file_opens,num_file_renames,num_file_deletes,num_distinct_files_touched,num_connect,num_distinct_dest_ips,num_setuid,syscall_rate
0,0,26,0,0,10,0,0,0,6.490641112127218
0,0,7,0,0,1,0,0,0,3.1851329018521457
0,0,4,1,1,3,4,1,0,2.174424799554547
0,0,85,2,0,17,0,0,0,17.399931907106474
0,2,84,0,0,34,0,0,0,16.79518919608379
0,0,201,0,0,8,0,0,0,40.165507629330264
0,0,8,2,0,3,0,0,0,1.9999995516001003
0,0,6,0,0,1,0,0,0,1.1999993553603463
0,0,6,0,0,1,0,0,0,1.1999950891400972
0,0,6,0,0,1,0,0,0,1.1999953231382274
0,1,2,0,0,2,0,0,0,680.7312551288846
0,0,5,1,0,2,0,0,0,5090.768400582384
0,0,31,0,0,13,0,0,0,23.385173928875602
